PeakID (cmd=annotatePeaks.pl hek293.abcam.CIMS.m6A.9536.bed hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
B045_1-4_chr17_f_c952[k=9][m=2]_GGACT,chr17,71233043,71233043,+,2,NA,"exon (NM_017941, exon 3 of 6)","exon (NM_017941, exon 3 of 6)",4282,NM_001100622,55028,Hs.12929,XM_005257487,ENSG00000141219,C17orf80,HLC-8|MIG3|SPEP1,chromosome 17 open reading frame 80,protein-coding
B045_1-4_chr15_f_c394[k=5][m=2]_GGACT,chr15,75500809,75500809,+,2,NA,"exon (NM_015492, exon 2 of 3)","exon (NM_015492, exon 2 of 3)",6588,NM_015492,56905,Hs.17936,XM_005254551,ENSG00000167173,C15orf39,0,chromosome 15 open reading frame 39,protein-coding
B045_1-4_chr14_r_c253[k=6][m=2]_GGACA,chr14,53110256,53110256,-,2,NA,"3' UTR (NM_014584, exon 16 of 16)","3' UTR (NM_014584, exon 16 of 16)",-52163,NM_014584,30001,Hs.592304,NM_014584,ERO1L,ERO1-alpha|ERO1A|ERO1LA,ERO1-like (S. cerevisiae),protein-coding,
B045_1-4_chr21_r_c226[k=4][m=2]_AAACC,chr21,44524440,44524440,-,2,NA,"exon (NM_006758, exon 2 of 8)","exon (NM_006758, exon 2 of 8)",-3248,NM_006758,7307,Hs.365116,XM_005261172,ENSG00000160201,U2AF1,FP793|RN|RNU2AF1|U2AF35|U2AFBP,U2 small nuclear RNA auxiliary factor 1,protein-coding
B045_1-4_chr18_f_c260[k=5][m=2]_TGACA,chr18,51820734,51820734,+,2,NA,"exon (NM_007195, exon 10 of 10)","exon (NM_007195, exon 10 of 10)",24885,NM_007195,11201,Hs.438533,XM_005258188,ENSG00000101751,POLI,RAD30B|RAD3OB,polymerase (DNA directed) iota,protein-coding
B045_1-4_chr12_f_c205[k=5][m=2]_AGACC,chr12,21926986,21926986,+,2,NA,"intron (NM_004982, intron 1 of 2)","intron (NM_004982, intron 1 of 2)",769,NM_004982,3764,Hs.741642,XM_005253358,ENSG00000121361,KCNJ8,KIR6.1|uKATP-1,"potassium inwardly-rectifying channel, subfamily J, member 8",protein-coding
B045_1-4_chr1_f_c2171[k=4][m=2]_ACACT,chr1,229795074,229795074,+,2,NA,"3' UTR (NM_014777, exon 10 of 10)","3' UTR (NM_014777, exon 10 of 10)",33093,NM_014777,9816,Hs.533628,XM_005273360,ENSG00000135763,URB2,KIAA0133|NET10|NPA2,URB2 ribosome biogenesis 2 homolog (S. cerevisiae),protein-coding
B045_1-4_chr2_r_c155[k=4][m=2]_AAACT,chr2,25042747,25042747,-,2,NA,"3' UTR (NM_001199803, exon 7 of 7)","3' UTR (NM_001199803, exon 7 of 7)",-26416,NM_024322,79172,Hs.731569,XR_244957,ENSG00000138092,CENPO,CENP-O|ICEN-36|MCM21R,centromere protein O,protein-coding
B045_1-4_chr10_r_c635[k=4][m=2]_AGACT,chr10,100176312,100176312,-,2,NA,"3' UTR (NM_000195, exon 20 of 20)","3' UTR (NM_000195, exon 20 of 20)",1334,NM_032709,84795,Hs.238303,NM_032709,ENSG00000119943,PYROXD2,C10orf33|FP3420,pyridine nucleotide-disulphide oxidoreductase domain 2,protein-coding
B045_1-4_chr10_r_c47[k=13][m=2]_GGACA,chr10,5807940,5807940,-,2,NA,"3' UTR (NM_001494, exon 11 of 11)","3' UTR (NM_001494, exon 11 of 11)",-47572,NM_001115156,2665,Hs.299055,XM_005252444,ENSG00000057608,GDI2,HEL-S-46e|RABGDIB,GDP dissociation inhibitor 2,protein-coding
B045_1-4_chr5_r_c717[k=35][m=2]_GAACT,chr5,140699730,140699730,-,2,NA,"5' UTR (NM_005642, exon 1 of 1)","5' UTR (NM_005642, exon 1 of 1)",-621,NM_005642,6879,Hs.438838,NM_005642,ENSG00000178913,TAF7,TAF2F|TAFII55,"TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa",protein-coding
B045_1-4_chr12_f_c812[k=4][m=2]_AAACT,chr12,109523799,109523799,+,2,NA,"3' UTR (NM_032663, exon 13 of 13)","3' UTR (NM_032663, exon 13 of 13)",7494,NM_001205180,121642,Hs.374458,XM_005253835,ENSG00000189046,ALKBH2,ABH2,"alkB, alkylation repair homolog 2 (E. coli)",protein-coding
B045_1-4_chr8_f_c182[k=6][m=2]_TAACT,chr8,30614363,30614363,+,2,NA,"exon (NM_001282189, exon 5 of 8)","exon (NM_001282189, exon 5 of 8)",12681,NM_001282189,7993,Hs.153678,NM_001282189,UBXN8,D8S2298E|REP8|UBXD6,UBX domain protein 8,protein-coding,
B045_1-4_chr20_r_c36[k=4][m=2]_AAACT,chr20,2641008,2641008,-,2,NA,"exon (NM_001258384, exon 8 of 12)","exon (NM_001258384, exon 8 of 12)",-3423,NR_002738,26792,NR_002738,SNORD57,RNU57|U57,"small nucleolar RNA, C/D box 57",snoRNA,,
B045_1-4_chr1_r_c654[k=6][m=2]_GCACA,chr1,37980337,37980337,-,2,NA,promoter-TSS (NM_022756),promoter-TSS (NM_022756),-83,NM_001270876,64769,Hs.17118,NM_001270875,MEAF6,C1orf149|CENP-28|EAF6|NY-SAR-91,MYST/Esa1-associated factor 6,protein-coding,
B045_1-4_chr8_f_c276[k=6][m=2]_AGACT,chr8,42940591,42940591,+,2,NA,"non-coding (NR_033698, exon 8 of 8)","non-coding (NR_033698, exon 8 of 8)",-8058,NM_001277971,84197,Hs.491646,NM_001277971,ENSG00000185900,POMK,MDDGA12|SGK196,protein-O-mannose kinase,protein-coding
B045_1-4_chr7_r_c376[k=4][m=2]_TGACA,chr7,42957043,42957043,-,2,NA,"3' UTR (NM_002787, exon 8 of 8)","3' UTR (NM_002787, exon 8 of 8)",5354,NM_024054,79020,Hs.698120,XM_005249844,ENSG00000136197,C7orf25,0,chromosome 7 open reading frame 25,protein-coding
B045_1-4_chr6_f_c240[k=4][m=2]_AAACA,chr6,26393870,26393870,+,2,NA,"3' UTR (NM_001197237, exon 8 of 8)","3' UTR (NM_001197237, exon 8 of 8)",-8595,NM_001145009,11119,Hs.191510,XM_005248833,ENSG00000026950,BTN3A1,BT3.1|BTF5|BTN3.1|CD277,"butyrophilin, subfamily 3, member A1",protein-coding
B045_1-4_chr3_r_c465[k=4][m=2]_GGACC,chr3,50355568,50355568,-,2,NA,"exon (NM_003773, exon 4 of 4)","exon (NM_003773, exon 4 of 4)",-4713,NM_033158,8692,Hs.76873,XM_005265524,ENSG00000068001,HYAL2,LUCA2,hyaluronoglucosaminidase 2,protein-coding
B045_1-4_chr21_f_c317[k=7][m=2]_AAACT,chr21,45402403,45402403,+,2,NA,"3' UTR (NM_020132, exon 10 of 10)","3' UTR (NM_020132, exon 10 of 10)",-29803,NM_003274,7109,Hs.126221,XM_005261168,ENSG00000160218,TRAPPC10,EHOC-1|EHOC1|GT334|TMEM1|TRS130|TRS30,trafficking protein particle complex 10,protein-coding
B045_1-4_chr1_f_c1101[k=6][m=2]_GTACT,chr1,91980405,91980405,+,2,NA,"exon (NM_001134420, exon 9 of 12)","exon (NM_001134420, exon 9 of 12)",13740,NM_001134420,8317,Hs.533573,XM_005271241,ENSG00000097046,CDC7,CDC7L1|HsCDC7|Hsk1|huCDC7,cell division cycle 7,protein-coding
B045_1-4_chr1_r_c1087[k=6][m=2]_GAACA,chr1,78421019,78421019,-,2,NA,"intron (NM_003902, intron 17 of 19)","intron (NM_003902, intron 17 of 19)",-23758,NM_003902,8880,Hs.707742,XM_005271309,ENSG00000162613,FUBP1,FBP|FUBP,far upstream element (FUSE) binding protein 1,protein-coding
B045_1-4_chr10_f_c479[k=4][m=2]_GAACA,chr10,75535537,75535537,+,2,NA,"3' UTR (NM_173540, exon 3 of 3)","3' UTR (NM_173540, exon 3 of 3)",3488,NM_001284194,170384,Hs.588854,XM_005269587,ENSG00000196968,FUT11,0,"fucosyltransferase 11 (alpha (1,3) fucosyltransferase)",protein-coding
B045_1-4_chr17_r_c1384[k=4][m=2]_GGACT,chr17,79891172,79891172,-,2,NA,"exon (NM_006907, exon 7 of 7)","exon (NM_006907, exon 7 of 7)",-3943,NM_001282281,5831,Hs.163451,XM_005256379,ENSG00000183010,PYCR1,ARCL2B|ARCL3B|P5C|P5CR|PIG45|PP222|PRO3|PYCR,pyrroline-5-carboxylate reductase 1,protein-coding
B045_1-4_chr5_f_c1164[k=9][m=2]_GGACT,chr5,178311264,178311264,+,2,NA,"exon (NM_058230, exon 5 of 5)","exon (NM_058230, exon 5 of 5)",-11652,NM_030613,80108,Hs.654533,XM_005265989,ENSG00000198939,ZFP2,ZNF751,ZFP2 zinc finger protein,protein-coding
B045_1-4_chr1_r_c1632[k=17][m=2]_AGACT,chr1,154179825,154179825,-,2,NA,promoter-TSS (NM_001010979),promoter-TSS (NM_001010979),984,NM_001010979,388701,Hs.104967,NM_001010979,C1orf189,0,chromosome 1 open reading frame 189,protein-coding,
B045_1-4_chr16_f_c583[k=6][m=2]_ACACT,chr16,30735842,30735842,+,2,NA,"exon (NM_006662, exon 25 of 34)","exon (NM_006662, exon 25 of 34)",13984,NR_002966,677813,Hs.689718,NR_002966,SNORA30,ACA30,"small nucleolar RNA, H/ACA box 30",snoRNA,
B045_1-4_chr1_f_c1975[k=4][m=2]_AGACT,chr1,214814497,214814497,+,2,NA,"exon (NM_016343, exon 12 of 20)","exon (NM_016343, exon 12 of 20)",37965,NM_016343,1063,Hs.497741,XM_005273008,ENSG00000117724,CENPF,CENF|PRO1779|hcp-1,"centromere protein F, 350/400kDa",protein-coding
B045_1-4_chr1_f_c1660[k=8][m=2]_TAACT,chr1,173457364,173457364,+,2,NA,"3' UTR (NM_004905, exon 5 of 5)","3' UTR (NM_004905, exon 5 of 5)",10878,NM_004905,9588,Hs.731505,NM_004905,ENSG00000117592,PRDX6,1-Cys|AOP2|HEL-S-128m|NSGPx|PRX|aiPLA2|p29,peroxiredoxin 6,protein-coding
B045_1-4_chr17_r_c574[k=11][m=2]_GAACT,chr17,38546363,38546363,-,2,NA,"exon (NM_001067, exon 34 of 35)","exon (NM_001067, exon 34 of 35)",25418,NM_152219,125111,Hs.444663,NM_152219,GJD3,CX31.9|Cx30.2|GJA11|GJC1,"gap junction protein, delta 3, 31.9kDa",protein-coding,
B045_1-4_chr12_f_c420[k=6][m=2]_GGACT,chr12,54423752,54423752,+,2,NA,"3' UTR (NM_153693, exon 3 of 3)","3' UTR (NM_153693, exon 3 of 3)",1558,NM_004503,3223,Hs.549040,XM_005268830,ENSG00000197757,HOXC6,CP25|HHO.C8|HOX3|HOX3C,homeobox C6,protein-coding
B045_1-4_chr16_r_c38[k=11][m=2]_AGACT,chr16,836015,836015,-,2,NA,"exon (NM_058192, exon 6 of 6)","exon (NM_058192, exon 6 of 6)",-2368,NM_058192,113000,Hs.101742,NM_058192,ENSG00000007376,RPUSD1,C16orf40|RLUCL,RNA pseudouridylate synthase domain containing 1,protein-coding
B045_1-4_chr10_f_c439[k=5][m=2]_AAACT,chr10,71161621,71161621,+,2,NA,TTS (NM_000188),TTS (NM_000188),15053,NM_001057,6865,Hs.88372,XM_005270069,ENSG00000075073,TACR2,NK2R|NKNAR|SKR|TAC2R,tachykinin receptor 2,protein-coding
B045_1-4_chr11_f_c698[k=5][m=2]_AGACA,chr11,65771167,65771167,+,2,NA,"exon (NM_001143985, exon 3 of 3)","exon (NM_001143985, exon 3 of 3)",-1530,NM_001242484,84285,Hs.425178,NM_001242481,ENSG00000175376,EIF1AD,haponin,eukaryotic translation initiation factor 1A domain containing,protein-coding
B045_1-4_chr4_r_c769[k=6][m=2]_GTACT,chr4,141563608,141563608,-,2,NA,"non-coding (NR_077215, exon 1 of 1)","non-coding (NR_077215, exon 1 of 1)",-626,NR_077215,644962,Hs.676500,NR_077215,TNRC18P1,0,TNRC18P1,pseudo,
B045_1-4_chr3_f_c780[k=17][m=2]_GGACA,chr3,101284231,101284231,+,2,NA,"exon (NM_017819, exon 2 of 2)","exon (NM_017819, exon 2 of 2)",3551,NM_017819,54931,Hs.744223,NM_017819,ENSG00000174173,TRMT10C,HNYA|MRPP1|RG9MTD1,tRNA methyltransferase 10 homolog C (S. cerevisiae),protein-coding
B045_1-4_chr16_r_c193[k=6][m=2]_GGACC,chr16,3779080,3779080,-,2,NA,"exon (NM_001079846, exon 30 of 30)","exon (NM_001079846, exon 30 of 30)",11482,NM_001272049,10131,Hs.30345,NM_001272049,ENSG00000126602,TRAP1,HSP 75|HSP75|HSP90L|TRAP-1,TNF receptor-associated protein 1,protein-coding
B045_1-4_chr11_r_c597[k=4][m=2]_GGACA,chr11,64577916,64577916,-,2,NA,"5' UTR (NM_130802, exon 1 of 10)","5' UTR (NM_130802, exon 1 of 10)",-119,NM_130800,4221,Hs.423348,XM_005274001,ENSG00000133895,MEN1,MEAI|SCG2,multiple endocrine neoplasia I,protein-coding
B045_1-4_chr16_f_c775[k=4][m=2]_GGACG,chr16,54967685,54967685,+,2,NA,"exon (NM_005853, exon 3 of 3)","exon (NM_005853, exon 3 of 3)",2574,NM_001252197,10265,Hs.435730,NM_001252197,ENSG00000176842,IRX5,HMMS|IRX-2a|IRXB2,iroquois homeobox 5,protein-coding
B045_1-4_chr19_f_c1427[k=4][m=2]_TGACA,chr19,58983845,58983845,+,2,NA,"3' UTR (NM_014347, exon 4 of 4)","3' UTR (NM_014347, exon 4 of 4)",-3950,NM_017908,55663,Hs.710284,XM_005259052,ENSG00000083838,ZNF446,ZKSCAN20|ZSCAN30|ZSCAN52,zinc finger protein 446,protein-coding
B045_1-4_chr3_r_c179[k=8][m=2]_GGACA,chr3,28365501,28365501,-,2,NA,"3' UTR (NM_001271650, exon 9 of 9)","3' UTR (NM_001271650, exon 9 of 9)",-25117,NM_001134433,64343,Hs.706676,XM_005265392,ENSG00000163512,AZI2,AZ2|NAP1|TILP,5-azacytidine induced 2,protein-coding
B045_1-4_chr1_r_c382[k=4][m=2]_AGACT,chr1,21544594,21544594,-,2,NA,"3' UTR (NM_001397, exon 19 of 19)","3' UTR (NM_001397, exon 19 of 19)",41213,NM_001198801,8672,Hs.732241,NM_001198801,ENSG00000075151,EIF4G3,eIF-4G 3|eIF4G 3|eIF4GII,"eukaryotic translation initiation factor 4 gamma, 3",protein-coding
B045_1-4_chr9_r_c205[k=8][m=2]_GGACT,chr9,35059209,35059209,-,2,NA,"exon (NM_007126, exon 15 of 17)","exon (NM_007126, exon 15 of 17)",-13530,NM_007126,7415,Hs.529782,XM_005251575,ENSG00000165280,VCP,ALS14|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97,valosin containing protein,protein-coding
B045_1-4_chr17_r_c1205[k=6][m=2]_GGACA,chr17,76989741,76989741,-,2,NA,"exon (NM_138793, exon 4 of 4)","exon (NM_138793, exon 4 of 4)",13680,NM_005567,3959,Hs.514535,XM_005257354,ENSG00000108679,LGALS3BP,90K|BTBD17B|MAC-2-BP|TANGO10B,"lectin, galactoside-binding, soluble, 3 binding protein",protein-coding
B045_1-4_chr16_r_c630[k=24][m=2]_GAACT,chr16,58147649,58147649,-,2,NA,"3' UTR (NM_013242, exon 6 of 6)","3' UTR (NM_013242, exon 6 of 6)",-15647,NM_013242,29105,Hs.532755,NM_013242,ENSG00000070761,C16orf80,EVORF|GTL3|fSAP23,chromosome 16 open reading frame 80,protein-coding
B045_1-4_chr11_r_c848[k=11][m=2]_AAACG,chr11,77784126,77784126,-,2,NA,"exon (NM_001203260, exon 2 of 4)","exon (NM_001203260, exon 2 of 4)",-7139,NM_001203260,100532726,Hs.709780,NM_001203260,NDUFC2-KCTD14,0,NDUFC2-KCTD14 readthrough,protein-coding,
B045_1-4_chr4_f_c470[k=4][m=2]_GAACT,chr4,81124490,81124490,+,2,NA,"exon (NM_020226, exon 10 of 10)","exon (NM_020226, exon 10 of 10)",5833,NM_001099403,56978,Hs.373642,XM_005263143,ENSG00000152784,PRDM8,PFM5,PR domain containing 8,protein-coding
B045_1-4_chr16_f_c887[k=5][m=2]_GGACT,chr16,67877875,67877875,+,2,NA,"3' UTR (NM_020457, exon 1 of 1)","3' UTR (NM_020457, exon 1 of 1)",1662,NM_020457,57215,Hs.632200,NM_020457,ENSG00000168286,THAP11,CTG-B43a|CTG-B45d|RONIN,THAP domain containing 11,protein-coding
B045_1-4_chr14_f_c85[k=4][m=2]_GAACA,chr14,24907491,24907491,+,2,NA,"3' UTR (NM_015299, exon 8 of 8)","3' UTR (NM_015299, exon 8 of 8)",4516,NM_020195,56948,Hs.643552,XM_005267872,ENSG00000100445,SDR39U1,C14orf124|HCDI,"short chain dehydrogenase/reductase family 39U, member 1",protein-coding
B045_1-4_chrX_f_c220[k=4][m=2]_GGACA,chrX,47088429,47088429,+,2,NA,"3' UTR (NM_006201, exon 16 of 16)","3' UTR (NM_006201, exon 16 of 16)",-3885,NM_004651,8237,Hs.171501,XM_005272673,ENSG00000102226,USP11,UHX1,ubiquitin specific peptidase 11,protein-coding
B045_1-4_chr7_r_c1008[k=4][m=2]_ATACT,chr7,148700220,148700220,-,2,NA,TTS (NM_004911),TTS (NM_004911),-25562,NM_004911,9601,Hs.93659,NM_004911,ENSG00000155660,PDIA4,ERP70|ERP72|ERp-72,"protein disulfide isomerase family A, member 4",protein-coding
B045_1-4_chr20_r_c429[k=4][m=2]_GGACT,chr20,49507335,49507335,-,2,NA,"3' UTR (NM_001282531, exon 6 of 6)","3' UTR (NM_001282531, exon 6 of 6)",-18993,NM_001282532,23394,Hs.570355,XM_005260354,ENSG00000101126,ADNP,ADNP1,activity-dependent neuroprotector homeobox,protein-coding
B045_1-4_chr11_r_c264[k=5][m=2]_AGACT,chr11,18631345,18631345,-,2,NA,"non-coding (NR_038360, exon 5 of 5)","non-coding (NR_038360, exon 5 of 5)",-9994,NR_038360,100506540,Hs.585529,XR_242770,ENSG00000247595,SPTY2D1-AS1,0,SPTY2D1 antisense RNA 1,ncRNA
B045_1-4_chr7_f_c985[k=8][m=2]_AGACA,chr7,139107183,139107183,+,2,NA,"3' UTR (NM_001244584, exon 11 of 11)","3' UTR (NM_001244584, exon 11 of 11)",5089,NR_033999,100129148,Hs.744449,NR_033999,LOC100129148,0,uncharacterized LOC100129148,ncRNA,
B045_1-4_chr9_r_c85[k=6][m=2]_TGACT,chr9,19116332,19116332,-,2,NA,"exon (NM_001122, exon 8 of 8)","exon (NM_001122, exon 8 of 8)",-11272,NR_038064,123,Hs.3416,NM_001122,ENSG00000147872,PLIN2,ADFP|ADRP,perilipin 2,protein-coding
B045_1-4_chr7_f_c533[k=5][m=2]_CCACT,chr7,77611946,77611946,+,2,NA,Intergenic,Intergenic,142499,NM_001127357,57157,Hs.601884,XM_005250508,ENSG00000006576,PHTF2,0,putative homeodomain transcription factor 2,protein-coding
B045_1-4_chr7_r_c760[k=16][m=2]_GAACT,chr7,103766961,103766961,-,2,NA,"3' UTR (NM_002553, exon 14 of 14)","3' UTR (NM_002553, exon 14 of 14)",-81534,NM_181747,5001,Hs.432948,XM_005250390,ENSG00000164815,ORC5,ORC5L|ORC5P|ORC5T,"origin recognition complex, subunit 5",protein-coding
B045_1-4_chr11_f_c846[k=8][m=2]_GGACT,chr11,74351749,74351749,+,2,NA,"non-coding (NR_046410, exon 12 of 12)","non-coding (NR_046410, exon 12 of 12)",48099,NR_046410,10714,Hs.82502,XM_005273716,ENSG00000077514,POLD3,P66|P68,"polymerase (DNA-directed), delta 3, accessory subunit",protein-coding
B045_1-4_chr14_r_c747[k=16][m=2]_TGACC,chr14,103988497,103988497,-,2,NA,"exon (NM_001823, exon 3 of 8)","exon (NM_001823, exon 3 of 8)",-699,NM_001823,1152,Hs.173724,NM_001823,ENSG00000166165,CKB,B-CK|BCK|CKBB|HEL-S-29,"creatine kinase, brain",protein-coding
B045_1-4_chr1_f_c19[k=6][m=2]_GGACA,chr1,1168673,1168673,+,2,NA,"3' UTR (NM_080605, exon 1 of 1)","3' UTR (NM_080605, exon 1 of 1)",1044,NM_080605,126792,Hs.284284,NM_080605,ENSG00000176022,B3GALT6,EDSP2|SEMDJL1|beta3GalT6,"UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6",protein-coding
B045_1-4_chr2_f_c533[k=4][m=2]_TGACC,chr2,73471706,73471706,+,2,NA,"exon (NM_006429, exon 6 of 12)","exon (NM_006429, exon 6 of 12)",10342,NM_006429,10574,Hs.368149,NM_001009570,ENSG00000135624,CCT7,CCTETA|CCTH|NIP7-1|TCP1ETA,"chaperonin containing TCP1, subunit 7 (eta)",protein-coding
B045_1-4_chr5_f_c1077[k=4][m=2]_GTACA,chr5,174954512,174954512,+,2,NA,"3' UTR (NM_022754, exon 11 of 11)","3' UTR (NM_022754, exon 11 of 11)",48998,NM_022754,94081,Hs.369440,XM_005266012,ENSG00000164466,SFXN1,0,sideroflexin 1,protein-coding
B045_1-4_chr4_f_c321[k=6][m=2]_GTACT,chr4,41270178,41270178,+,2,NA,"3' UTR (NM_004181, exon 9 of 9)","3' UTR (NM_004181, exon 9 of 9)",11280,NM_004181,7345,Hs.518731,XM_005248124,ENSG00000154277,UCHL1,HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase),protein-coding
B045_1-4_chr10_f_c410[k=12][m=2]_TGACA,chr10,70719677,70719677,+,2,NA,"exon (NM_004728, exon 2 of 15)","exon (NM_004728, exon 2 of 15)",3481,NM_001256910,9188,Hs.223141,NM_001256910,ENSG00000165732,DDX21,GUA|GURDB|RH-II/GU|RH-II/GuA,DEAD (Asp-Glu-Ala-Asp) box helicase 21,protein-coding
B045_1-4_chr3_f_c507[k=6][m=2]_GGACT,chr3,51671357,51671357,+,2,NA,"exon (NM_015106, exon 10 of 22)","exon (NM_015106, exon 10 of 22)",-33834,NR_024012,51368,Hs.733397,NM_001129884,ENSG00000164081,TEX264,ZSIG11,testis expressed 264,protein-coding
B045_1-4_chr2_f_c460[k=6][m=2]_AAACT,chr2,67632045,67632045,+,2,NA,"exon (NM_019002, exon 5 of 6)","exon (NM_019002, exon 5 of 6)",7603,NM_019002,54465,Hs.353022,XM_005264374,ENSG00000143971,ETAA1,ETAA16,Ewing tumor-associated antigen 1,protein-coding
B045_1-4_chr11_f_c1039[k=7][m=2]_GAACA,chr11,107832750,107832750,+,2,NA,"exon (NM_017516, exon 2 of 2)","exon (NM_017516, exon 2 of 2)",33473,NM_017516,54734,Hs.354906,NM_017516,ENSG00000179331,RAB39A,RAB39,"RAB39A, member RAS oncogene family",protein-coding
B045_1-4_chr14_f_c705[k=6][m=2]_AGACA,chr14,103807352,103807352,+,2,NA,"exon (NM_001969, exon 12 of 12)","exon (NM_001969, exon 12 of 12)",3166,NR_002964,677811,Hs.658237,NR_002964,SNORA28,ACA28,"small nucleolar RNA, H/ACA box 28",snoRNA,
B045_1-4_chr7_r_c215[k=9][m=2]_GAACT,chr7,25162575,25162575,-,2,NA,"3' UTR (NM_018947, exon 3 of 3)","3' UTR (NM_018947, exon 3 of 3)",-2405,NM_018947,54205,Hs.617193,NM_018947,CYCS,CYC|HCS|THC4,"cytochrome c, somatic",protein-coding,
B045_1-4_chr1_r_c746[k=20][m=2]_GAACT,chr1,43392290,43392290,-,2,NA,"3' UTR (NM_006516, exon 10 of 10)","3' UTR (NM_006516, exon 10 of 10)",32430,NR_033967,440584,Hs.260928,NR_033967,ENSG00000227533,SLC2A1-AS1,RP5-848E13.3,SLC2A1 antisense RNA 1,ncRNA
B045_1-4_chr6_f_c1071[k=4][m=2]_CAACT,chr6,142519678,142519678,+,2,NA,"exon (NM_001286372, exon 5 of 6)","exon (NM_001286372, exon 5 of 6)",51379,NM_001286371,51534,Hs.431367,XM_005267016,VTA1,C6orf55|DRG-1|DRG1|LIP5|My012|SBP1,vesicle (multivesicular body) trafficking 1,protein-coding,
B045_1-4_chr20_r_c288[k=8][m=2]_AGACT,chr20,34256915,34256915,-,2,NA,"non-coding (NR_037570, exon 14 of 14)","non-coding (NR_037570, exon 14 of 14)",4037,NM_152928,8904,Hs.700188,NM_001198863,ENSG00000214078,CPNE1,COPN1|CPN1,copine I,protein-coding
B045_1-4_chr4_r_c361[k=6][m=2]_GGACA,chr4,57843579,57843579,-,2,NA,"exon (NM_032313, exon 1 of 7)","exon (NM_032313, exon 1 of 7)",-247,NM_032313,84273,Hs.8715,NM_032313,NOA1,C4orf14|MTG3|hAtNOS1|hNOA1|mAtNOS1,nitric oxide associated 1,protein-coding,
B045_1-4_chr7_f_c792[k=25][m=2]_TGACC,chr7,104885198,104885198,+,2,NA,"intron (NM_182692, intron 2 of 15)",CpG,24326,NM_182691,6733,Hs.285197,XM_005250549,ENSG00000135250,SRPK2,SFRSK2,SRSF protein kinase 2,protein-coding
B045_1-4_chr6_f_c1073[k=10][m=2]_TGACA,chr6,142539895,142539895,+,2,NA,"3' UTR (NM_001286372, exon 6 of 6)","3' UTR (NM_001286372, exon 6 of 6)",71596,NM_001286371,51534,Hs.431367,XM_005267016,VTA1,C6orf55|DRG-1|DRG1|LIP5|My012|SBP1,vesicle (multivesicular body) trafficking 1,protein-coding,
B045_1-4_chr19_f_c9[k=18][m=2]_TTACC,chr19,541580,541580,+,2,NA,"3' UTR (NM_004359, exon 5 of 5)","3' UTR (NM_004359, exon 5 of 5)",-2454,NM_001258351,3004,Hs.465511,NM_001258351,ENSG00000197540,GZMM,LMET1|MET1,granzyme M (lymphocyte met-ase 1),protein-coding
B045_1-4_chr15_r_c552[k=4][m=2]_GGACT,chr15,85186729,85186729,-,2,NA,"exon (NM_032856, exon 8 of 8)","exon (NM_032856, exon 8 of 8)",-10792,NM_032856,84942,Hs.745027,XM_005254983,ENSG00000177082,WDR73,0,WD repeat domain 73,protein-coding
B045_1-4_chr20_f_c675[k=20][m=2]_GGACA,chr20,61920778,61920778,+,2,NA,"non-coding (NR_104022, exon 5 of 5)","non-coding (NR_104022, exon 5 of 5)",2618,NR_036220,100422945,NR_036220,MIR4326,0,microRNA 4326,ncRNA,,
B045_1-4_chr16_r_c481[k=8][m=2]_CGACT,chr16,30536079,30536079,-,2,NA,"exon (NM_024671, exon 2 of 2)","exon (NM_024671, exon 2 of 2)",-1831,NM_024671,79724,Hs.85658,XM_005255577,ENSG00000169957,ZNF768,0,zinc finger protein 768,protein-coding
B045_1-4_chr21_r_c52[k=9][m=2]_CTACA,chr21,27253150,27253150,-,2,NA,"3' UTR (NM_001204301, exon 17 of 17)","3' UTR (NM_001204301, exon 17 of 17)",145185,NM_001685,522,Hs.246310,XM_005260992,ENSG00000154723,ATP5J,ATP5|ATP5A|ATPM|CF6|F6,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6",protein-coding
B045_1-4_chr13_f_c192[k=5][m=2]_GAACC,chr13,50586808,50586808,+,2,NA,"exon (NM_001007278, exon 4 of 4)","exon (NM_001007278, exon 4 of 4)",-2582,NM_199464,283518,Hs.660161,NM_173605,ENSG00000198553,KCNRG,DLTET,potassium channel regulator,protein-coding
B045_1-4_chr1_f_c1451[k=14][m=2]_GGACC,chr1,153617844,153617844,+,2,NA,"3' UTR (NM_001244664, exon 4 of 4)","3' UTR (NM_001244664, exon 4 of 4)",-11276,NM_001024210,6284,Hs.516505,XM_005245433,ENSG00000189171,S100A13,0,S100 calcium binding protein A13,protein-coding
